session_id,sample_idx,dt,imu0_ax,imu0_ay,imu0_az,imu0_gx,imu0_gy,imu0_gz,imu1_ax,imu1_ay,imu1_az,imu1_gx,imu1_gy,imu1_gz,ts
20260212_183758,122,0.01,-1.224,9.427,-1.657,-0.046,0.128,-0.021,0.035,-9.836,-0.083,0.009,-0.142,0.132,381637
20260212_183758,123,0.01,-1.411,9.385,-1.664,-0.039,0.154,-0.003,0.108,-10.058,-0.152,0.027,-0.113,0.157,381647
20260212_183758,124,0.01,-1.585,9.413,-1.674,-0.024,0.158,0.012,0.086,-10.073,0.042,0.014,-0.097,0.153,381657
20260212_183758,125,0.01,-1.779,9.421,-1.628,-0.031,0.125,0.019,0.049,-10.039,0.067,0.013,-0.076,0.15,381667
20260212_183758,126,0.01,-1.893,9.393,-1.641,-0.033,0.034,0.026,-0.073,-10.008,0.031,0.008,-0.081,0.151,381677
20260212_183758,127,0.01,-1.926,9.309,-1.646,-0.037,-0.031,0.032,-0.138,-9.943,0.132,-0.001,-0.047,0.152,381687
20260212_183758,128,0.01,-1.956,9.312,-1.626,-0.02,-0.067,0.032,-0.297,-9.982,0.201,0.017,-0.053,0.151,381697
20260212_183758,129,0.01,-1.854,9.338,-1.545,-0.004,-0.14,0.03,-0.343,-9.964,0.173,0.024,-0.027,0.149,381707
20260212_183758,130,0.01,-1.704,9.315,-1.529,-0.006,-0.168,0.018,-0.291,-10.086,0.249,0.041,0.024,0.15,381717
20260212_183758,131,0.01,-1.545,9.362,-1.614,-0.003,-0.148,-0.001,-0.264,-10.126,0.164,0.038,0.025,0.133,381727
20260212_183758,132,0.01,-1.539,9.4,-1.659,-0.01,-0.085,-0.019,-0.359,-10.083,0.2,0.032,-0.013,0.112,381737
20260212_183758,133,0.01,-1.609,9.336,-1.626,-0.011,-0.035,-0.036,-0.522,-10.033,0.25,0.024,-0.061,0.096,381747
20260212_183758,134,0.01,-1.552,9.3,-1.622,-0.003,-0.022,-0.052,-0.642,-10.018,0.249,0.016,-0.067,0.089,381757
20260212_183758,135,0.01,-1.492,9.357,-1.691,-0.001,-0.027,-0.066,-0.613,-10.046,0.197,0.015,-0.049,0.082,381767
20260212_183758,136,0.01,-1.553,9.334,-1.798,-0.016,-0.007,-0.074,-0.56,-10.032,0.27,-0.001,-0.038,0.071,381777
20260212_183758,137,0.01,-1.635,9.304,-1.878,-0.023,0.052,-0.082,-0.456,-9.996,0.238,-0.001,-0.027,0.065,381787
20260212_183758,138,0.01,-1.81,9.285,-1.785,-0.027,0.102,-0.093,-0.301,-10.057,0.206,0.015,-0.03,0.06,381797
20260212_183758,139,0.01,-1.931,9.287,-1.583,-0.013,0.077,-0.097,-0.299,-10.069,0.245,0.006,-0.049,0.047,381807
20260212_183758,140,0.01,-1.853,9.382,-1.583,-0.004,-0.0,-0.105,-0.229,-10.111,0.085,0.005,-0.07,0.042,381817
20260212_183758,141,0.01,-1.781,9.418,-1.602,-0.018,-0.048,-0.119,-0.267,-10.106,0.13,-0.009,-0.099,0.03,381827
20260212_183758,142,0.01,-1.826,9.409,-1.584,-0.022,-0.042,-0.118,-0.297,-10.05,0.126,-0.017,-0.088,0.021,381837
20260212_183758,143,0.01,-1.884,9.29,-1.644,-0.039,-0.013,-0.112,-0.384,-10.07,0.188,-0.015,-0.06,0.016,381847
20260212_183758,144,0.01,-1.909,9.281,-1.598,-0.028,0.01,-0.107,-0.383,-10.068,0.227,-0.005,-0.003,0.013,381857
20260212_183758,145,0.01,-1.859,9.315,-1.716,-0.001,-0.036,-0.102,-0.242,-10.007,0.194,-0.006,0.066,0.017,381867
20260212_183758,146,0.01,-1.783,9.312,-1.796,0.006,-0.109,-0.097,-0.16,-9.977,0.219,-0.011,0.077,0.018,381877
20260212_183758,147,0.01,-1.694,9.301,-1.741,-0.008,-0.116,-0.093,-0.208,-9.977,0.246,-0.014,0.069,0.016,381887
20260212_183758,148,0.01,-1.742,9.33,-1.591,-0.008,-0.073,-0.087,-0.184,-10.027,0.062,-0.003,0.038,0.019,381897
20260212_183758,149,0.01,-1.697,9.367,-1.612,0.006,-0.093,-0.068,-0.141,-10.067,0.147,-0.011,0.02,0.02,381907
20260212_183758,150,0.01,-1.643,9.357,-1.584,0.021,-0.2,-0.057,-0.178,-10.039,0.201,-0.014,0.032,0.022,381917
20260212_183758,151,0.01,-1.633,9.38,-1.603,0.013,-0.133,-0.052,-0.164,-10.101,0.145,-0.009,0.056,0.025,381927
20260212_183758,152,0.01,-1.68,9.44,-1.598,0.007,-0.104,-0.052,-0.148,-10.024,0.14,-0.013,0.063,0.022,381937
20260212_183758,153,0.01,-1.633,9.36,-1.601,0.007,-0.127,-0.053,-0.171,-10.057,0.178,-0.005,0.055,0.022,381947
20260212_183758,154,0.01,-1.597,9.407,-1.624,0.014,-0.13,-0.053,-0.266,-10.092,0.171,-0.011,0.037,0.015,381957
20260212_183758,155,0.01,-1.595,9.376,-1.649,-0.003,-0.095,-0.052,-0.275,-10.07,0.133,-0.02,0.03,0.011,381967
20260212_183758,156,0.01,-1.661,9.328,-1.521,-0.007,-0.06,-0.044,-0.303,-10.044,0.263,-0.024,0.047,0.009,381977
20260212_183758,157,0.01,-1.718,9.284,-1.543,0.0,-0.056,-0.042,-0.262,-10.032,0.173,-0.026,0.051,0.007,381987
20260212_183758,158,0.01,-1.717,9.307,-1.652,0.006,-0.073,-0.047,-0.269,-9.998,0.331,-0.029,0.042,0.005,381997
20260212_183758,159,0.01,-1.728,9.309,-1.494,0.01,-0.059,-0.052,-0.27,-9.991,0.266,-0.018,0.035,0.005,382007
20260212_183758,160,0.01,-1.699,9.35,-1.571,0.007,-0.068,-0.054,-0.232,-10.07,0.067,-0.005,-0.002,0.005,382017
20260212_183758,161,0.01,-1.64,9.34,-1.598,0.006,-0.118,-0.053,-0.142,-9.948,0.14,-0.017,-0.015,0.002,382027
20260212_183758,162,0.01,-1.584,9.328,-1.521,0.02,-0.133,-0.046,-0.079,-9.984,0.11,-0.001,0.004,0.013,382037
20260212_183758,163,0.01,-1.51,9.448,-1.484,0.026,-0.129,-0.039,-0.014,-10.065,-0.008,0.005,-0.005,0.017,382047
20260212_183758,164,0.01,-1.458,9.44,-1.534,-0.001,-0.105,-0.034,-0.151,-10.009,0.159,-0.001,0.012,0.018,382057
20260212_183758,165,0.01,-1.484,9.468,-1.492,-0.009,-0.06,-0.024,-0.087,-10.08,-0.059,0.013,0.049,0.031,382067
20260212_183758,166,0.01,-1.57,9.449,-1.553,-0.03,-0.033,-0.017,-0.08,-10.129,0.073,0.001,0.046,0.027,382077
20260212_183758,167,0.01,-1.693,9.401,-1.57,-0.045,-0.021,-0.01,-0.074,-10.081,0.147,-0.012,0.066,0.024,382087
20260212_183758,168,0.01,-1.811,9.319,-1.54,-0.041,-0.016,-0.002,-0.08,-10.087,0.133,-0.006,0.072,0.027,382097
20260212_183758,169,0.01,-1.845,9.29,-1.565,-0.019,-0.046,0.006,-0.122,-10.007,0.182,-0.014,0.048,0.023,382107
20260212_183758,170,0.01,-1.801,9.307,-1.545,0.002,-0.077,0.008,-0.201,-9.988,0.177,-0.012,0.013,0.021,382117
20260212_183758,171,0.01,-1.758,9.334,-1.443,-0.007,-0.113,0.004,-0.263,-9.986,0.206,-0.013,-0.013,0.02,382127
20260212_183758,172,0.01,-1.656,9.275,-1.415,-0.012,-0.168,0.006,-0.336,-9.965,0.181,-0.016,-0.036,0.02,382137
20260212_183758,173,0.01,-1.541,9.385,-1.454,-0.001,-0.164,0.009,-0.361,-9.946,0.171,-0.005,-0.049,0.028,382147
20260212_183758,174,0.01,-1.488,9.382,-1.574,-0.013,-0.114,0.006,-0.239,-10.016,0.132,0.018,-0.013,0.042,382157
20260212_183758,175,0.01,-1.595,9.429,-1.602,-0.007,-0.059,0.009,-0.171,-10.088,0.129,0.023,0.003,0.042,382167
20260212_183758,176,0.01,-1.585,9.368,-1.567,-0.011,-0.051,0.014,-0.195,-10.082,0.066,0.006,0.002,0.033,382177
20260212_183758,177,0.01,-1.681,9.398,-1.522,-0.005,-0.024,0.013,-0.25,-10.041,-0.013,-0.004,-0.001,0.028,382187
20260212_183758,178,0.01,-1.756,9.41,-1.436,-0.002,-0.049,0.013,-0.367,-10.057,0.053,-0.005,-0.011,0.026,382197
